datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2022-12-14,0.3142,0.3157,0.3053,0.3079,91418405.6,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-15,0.308,0.3086,0.2962,0.3003,88292967.3,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-16,0.3003,0.3013,0.255,0.2632,218355848.5,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-17,0.2633,0.2678,0.2587,0.2672,164203460.7,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-18,0.2672,0.2713,0.2627,0.2659,90386512.2,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-19,0.266,0.2694,0.2488,0.2529,109679881.16,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-20,0.2529,0.2621,0.2512,0.2587,79578969.4,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-21,0.2586,0.2593,0.2478,0.2534,93178931.7,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-22,0.2534,0.2569,0.2465,0.2566,78100191.4,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-23,0.2567,0.264,0.2554,0.2594,74119327.5,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-24,0.2594,0.2604,0.2566,0.2592,32054310.5,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-25,0.2591,0.2599,0.2546,0.2591,46627019.2,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-26,0.259,0.2657,0.2576,0.2652,61775474.3,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-27,0.2653,0.2665,0.2563,0.2603,59557924.7,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-28,0.2603,0.2611,0.2468,0.2482,115688916.7,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-29,0.2483,0.2484,0.2396,0.244,119235796.6,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-30,0.244,0.2463,0.2392,0.2458,77783257.0,0.0,0.0,0.0,0.0,ADAUSDT
2022-12-31,0.2457,0.2521,0.244,0.2458,66923069.1,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-01,0.2458,0.25,0.2434,0.2499,49487029.5,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-02,0.2499,0.2565,0.2466,0.2538,75458284.6,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-03,0.2538,0.2555,0.2502,0.2529,71671057.1,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-04,0.2529,0.2708,0.2518,0.2678,148810996.5,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-05,0.2678,0.2713,0.2633,0.2692,81943632.6,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-06,0.2692,0.2798,0.2671,0.2786,171198727.6,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-07,0.2785,0.2806,0.2723,0.2768,72623368.2,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-08,0.2768,0.299,0.2742,0.2974,196047722.8,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-09,0.2975,0.346,0.2955,0.3168,405177005.9,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-10,0.3168,0.3253,0.3063,0.3222,184082448.1,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-11,0.3222,0.3235,0.3075,0.323,144048586.5,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-12,0.323,0.3351,0.3154,0.3293,248440812.5,0.0,0.0,0.0,0.0,ADAUSDT
2023-01-13,0.3293,0.3509,0.3237,0.3456,150546494.0,0.0,0.0,0.0,0.0,ADAUSDT
