datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2022-12-14,13.9,14.96,13.81,14.12,5084591.13,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-15,14.12,14.52,13.86,14.04,2711381.25,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-16,14.05,14.17,12.0,12.25,4522833.23,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-17,12.25,12.6,11.92,12.51,2465880.45,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-18,12.5,12.6,12.25,12.38,1358593.49,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-19,12.38,12.59,11.66,11.94,2385052.59,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-20,11.94,12.49,11.84,12.26,1699256.37,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-21,12.26,12.29,11.9,12.14,1549774.66,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-22,12.14,12.19,11.67,11.82,1805407.09,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-23,11.81,12.11,11.72,11.78,1647382.32,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-24,11.79,11.79,11.07,11.45,2286878.14,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-25,11.45,11.56,11.24,11.38,916417.64,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-26,11.39,11.49,11.06,11.32,1613225.82,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-27,11.33,11.44,10.71,11.09,3052197.59,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-28,11.1,11.12,9.39,9.76,7362205.181,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-29,9.76,10.89,8.0,9.64,12093989.53,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-30,9.64,10.26,9.0,9.9,12587079.51,0.0,0.0,0.0,0.0,SOLUSDT
2022-12-31,9.91,10.2,9.66,9.97,3621434.65,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-01,9.97,10.09,9.69,9.99,2287512.63,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-02,9.99,12.0,9.81,11.28,7628264.93,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-03,11.28,13.91,11.0,13.37,14986491.36,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-04,13.37,14.24,12.83,13.43,12612735.49,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-05,13.43,13.89,12.95,13.43,5834353.76,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-06,13.43,13.6,12.69,13.5,5404648.48,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-07,13.51,13.51,13.01,13.1,1904950.91,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-08,13.1,14.89,12.85,14.45,6295596.12,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-09,14.46,17.5,14.28,16.25,19481959.57,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-10,16.25,16.73,15.57,16.2,8489417.77,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-11,16.2,16.67,15.28,16.36,6661616.67,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-12,16.37,17.0,15.54,16.59,9608670.96,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-13,16.59,18.65,16.29,18.29,10929884.4,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-14,18.29,24.75,18.2,24.24,25997232.06,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-15,24.23,25.0,21.98,22.89,11258028.55,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-16,22.9,25.0,22.3,23.58,10043368.28,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-17,23.58,23.95,22.7,22.86,6056942.68,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-18,22.86,23.65,20.34,20.79,11341710.32,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-19,20.78,21.88,20.41,21.4,6113345.07,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-20,21.4,25.82,20.93,25.51,9652433.39,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-21,25.51,26.6,24.24,24.57,12782858.69,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-22,24.56,25.45,23.5,24.21,6496779.26,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-23,24.21,24.93,23.7,24.33,6100483.98,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-24,24.32,25.24,22.25,22.78,6121565.88,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-25,22.77,25.43,22.24,24.52,8332368.29,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-26,24.53,25.23,23.73,24.33,5450404.1,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-27,24.33,24.96,23.27,24.43,4729055.76,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-28,24.43,25.24,23.7,24.0,3377884.1,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-29,24.0,26.8,23.73,26.07,7785906.2,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-30,26.07,26.31,23.11,23.96,7532450.12,0.0,0.0,0.0,0.0,SOLUSDT
2023-01-31,23.97,24.47,23.49,23.92,4062387.09,0.0,0.0,0.0,0.0,SOLUSDT
2023-02-01,23.93,25.22,22.48,25.0,7304888.31,0.0,0.0,0.0,0.0,SOLUSDT
2023-02-02,25.0,26.15,24.05,24.32,7246590.58,0.0,0.0,0.0,0.0,SOLUSDT
2023-02-03,24.32,25.07,24.01,24.69,4759274.31,0.0,0.0,0.0,0.0,SOLUSDT
2023-02-04,24.69,24.95,24.17,24.34,2034159.41,0.0,0.0,0.0,0.0,SOLUSDT
2023-02-05,24.34,24.46,23.02,23.47,4822304.59,0.0,0.0,0.0,0.0,SOLUSDT
