datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2022-12-14,0.3953,0.3956,0.3768,0.3853,329607186.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-15,0.3852,0.3867,0.3735,0.378,226540166.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-16,0.3779,0.3799,0.344,0.3511,376428572.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-17,0.351,0.3598,0.3467,0.3545,208492422.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-18,0.3545,0.3556,0.3473,0.3499,115421793.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-19,0.3499,0.353,0.332,0.3389,365699862.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-20,0.3389,0.3532,0.3359,0.3482,312424782.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-21,0.3482,0.3505,0.3371,0.3449,287425951.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-22,0.3448,0.3503,0.3414,0.3492,255155313.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-23,0.3492,0.355,0.3471,0.3543,221882542.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-24,0.3542,0.3544,0.3509,0.3517,62857912.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-25,0.3518,0.3519,0.3439,0.3457,100344595.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-26,0.3457,0.37,0.3455,0.3658,337834881.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-27,0.3657,0.3731,0.3586,0.3675,385194770.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-28,0.3675,0.3687,0.3546,0.3558,337095747.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-29,0.3559,0.3577,0.3361,0.3421,347820025.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-30,0.3421,0.3461,0.3337,0.3451,270037618.0,0.0,0.0,0.0,0.0,XRPUSDT
2022-12-31,0.345,0.3453,0.3384,0.3389,138156698.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-01,0.3389,0.34,0.3354,0.3387,102026821.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-02,0.3386,0.3555,0.3,0.3482,647520487.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-03,0.3482,0.352,0.3395,0.3436,346410334.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-04,0.3436,0.3605,0.339,0.3472,372672796.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-05,0.3471,0.3487,0.3333,0.338,265529668.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-06,0.338,0.3462,0.3311,0.3443,278304929.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-07,0.3442,0.3457,0.3413,0.3442,103851424.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-08,0.3442,0.3469,0.3354,0.3452,185516324.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-09,0.3452,0.3576,0.3437,0.349,527746615.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-10,0.3489,0.3541,0.3432,0.3507,338577860.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-11,0.3506,0.3785,0.3477,0.3728,626037461.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-12,0.3728,0.382,0.3607,0.3748,505754231.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-13,0.3748,0.3868,0.368,0.3858,405120914.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-14,0.3857,0.4089,0.3766,0.3953,582781070.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-15,0.3953,0.3969,0.3795,0.3845,294014260.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-16,0.3846,0.4064,0.3777,0.3855,542041099.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-17,0.3855,0.3987,0.379,0.3868,378212343.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-18,0.3868,0.3964,0.3655,0.3782,615064764.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-19,0.3782,0.3965,0.3762,0.3928,416112670.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-20,0.3929,0.4141,0.3859,0.4129,366316527.0,0.0,0.0,0.0,0.0,XRPUSDT
2023-01-21,0.4129,0.4166,0.3967,0.4034,346602583.0,0.0,0.0,0.0,0.0,XRPUSDT
