datetime,open,high,low,close,volume,sentiment,sentiment_diff,sentiment_ma3,sentiment_vol7,symbol
2025-09-06 17:03:00,2.8014,2.8017,2.801,2.8016,37213.6,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:06:00,2.8015,2.8017,2.8004,2.8017,38671.0,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:09:00,2.8017,2.8028,2.8016,2.8025,61352.7,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:12:00,2.8024,2.8028,2.8023,2.8026,33622.1,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:15:00,2.8026,2.8042,2.8024,2.8031,41356.4,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:18:00,2.8032,2.8035,2.8028,2.8032,26288.4,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:21:00,2.8032,2.8036,2.8022,2.8024,19774.8,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:24:00,2.8024,2.8024,2.8011,2.8012,21606.1,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:27:00,2.8012,2.8018,2.8012,2.8016,20070.2,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:30:00,2.8016,2.8016,2.8003,2.8009,43816.1,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:33:00,2.8008,2.8015,2.7992,2.8015,383088.2,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:36:00,2.8015,2.8019,2.8005,2.8017,62320.2,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:39:00,2.8017,2.8017,2.7968,2.7989,186278.4,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:42:00,2.7989,2.7994,2.7982,2.7983,38344.1,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:45:00,2.7983,2.8005,2.7983,2.8005,213427.3,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:48:00,2.8005,2.8005,2.7988,2.7994,54682.8,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:51:00,2.7994,2.7994,2.7981,2.799,45959.4,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
2025-09-06 17:54:00,2.799,2.799,2.798,2.7984,43694.1,-0.04,0.0,-0.019999999999999928,0.05855400437690948,XRPUSDT
